MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,PRICE_CODE,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID
293.37,C19H19NO2,293.37,COc1ccc2[nH]c3c4C=CC(C)(C)Oc4c(C)cc3c2c1,,0,,,,MFCD17167053,7447528
327.34,C21H13NO3,327.34,[O-][N+](=O)c1cccc(C=C2c3ccccc3C(=O)c3ccccc23)c1,,0,,,,,7455698
425.48,C22H20FN3O3S,425.48,,,0,,,,,7685640
425.48,C22H20FN3O3S,425.48,COc1ccc(cc1)C1=NN(C(C1)c1ccc(F)cc1)c1ccc(cc1)S(N)(=O)=O,,0,,,,MFCD05900441,7685640
303.34,C13H13N5O2S,303.34,Cc1nnc2SCC(Nc3ccc4OCCOc4c3)=Nn12,,0,,,,MFCD09064336,9991760
298.3,C16H14N2O4,298.3,COc1ccccc1C(=O)Nc1ccc2OCC(=O)Nc2c1,,0,,,,MFCD10063376,10100572
326.35,C22H14O3,326.35,O=C1c2ccccc2C(=Cc2ccc3OCOc3c2)c2ccccc12,,0,,,,MFCD00087743,13172517
259.25,C11H8F3NOS,259.25,COc1ccc2c(cc(S)nc2c1)C(F)(F)F,,0,,,,MFCD09761187,17135351
319.41,C24H17N,319.41,Cc1ccc2\C(=N/c3cccc4ccccc34)c3ccccc3-c2c1,,0,,,,,26815215
378.38,C21H18N2O5,378.38,COC(=O)CC1=C(C(C(C#N)=C(N)O1)c1cccc2ccccc12)C(=O)OC,,0,,,,MFCD04125294,27478870
385.46,C22H27NO5,385.46,CCCCOc1ccccc1C1C(C(=O)OCC)=C(N)OC2=C1C(=O)CCC2,,0,,,,MFCD03729933,27511260
240.3,C16H16O2,240.3,COc1ccc(cc1C=O)-c1cc(C)cc(C)c1,,0,,,,MFCD09055087,28305327
382.25,C16H17Cl2N5O2,382.25,CC1=C(C(c2ccc(Cl)cc2Cl)n2nnnc2N1)C(=O)OC(C)(C)C,,0,,,,,30572536
270.31,C16H15FN2O,270.31,NC(=O)C(N1CCc2ccccc12)c1ccc(F)cc1,,0,,,,,31866782
