experiment,batch,plate_id,well.name,treatment_type,Stimulant,Stimulant dose,Stimulant unit,Treatment,Treatment concentration,Treatment unit,Treatment 2,Treatment 2 concentration,Treatment 2 unit,obj.Mean(area).um2.meas,dmso_median_raw,fsk_2_5uM_median_raw,normalized_cyst_swelling_pct
compound_exploration,4042,1,J12,treatment,FSK,2.5,uM,Z318400112,1.0,uM,Aldosterone,1.0,uM,2388.824,1631.0785,3117.0,50.99498863163364
compound_exploration,4042,1,J13,treatment,FSK,2.5,uM,Z90308949,1.0,uM,DMSO,0.1,pct,3045.837,1631.0785,3117.0,95.2108506404948
compound_exploration,4042,1,J14,treatment,FSK,2.5,uM,Z90308949,1.0,uM,DMSO,0.1,pct,3010.36,1631.0785,3117.0,92.82330863373335
compound_exploration,4042,1,J15,treatment,FSK,2.5,uM,Z90308949,1.0,uM,Aldosterone,1.0,uM,2482.672,1631.0785,3117.0,57.31080006581774
compound_exploration,4042,1,J16,treatment,FSK,2.5,uM,Z90308949,1.0,uM,Aldosterone,1.0,uM,2671.405,1631.0785,3117.0,70.01221127764826
compound_exploration,4042,1,J17,treatment,FSK,2.5,uM,Z95680027,1.0,uM,DMSO,0.1,pct,3276.234,1631.0785,3117.0,110.71617847914577
compound_exploration,4042,1,J18,treatment,FSK,2.5,uM,Z95680027,1.0,uM,DMSO,0.1,pct,3233.228,1631.0785,3117.0,107.82194752549177
compound_exploration,4042,1,J19,treatment,FSK,2.5,uM,Z95680027,1.0,uM,Aldosterone,1.0,uM,2844.568,1631.0785,3117.0,81.6657878629524
compound_exploration,4042,1,J20,treatment,FSK,2.5,uM,Z95680027,1.0,uM,Aldosterone,1.0,uM,2793.682,1631.0785,3117.0,78.24124625695232
compound_exploration,4042,1,J21,solvent_ctrl,DMSO,0.1,pct,DMSO,0.1,pct,DMSO,0.1,pct,1664.157,1631.0785,3117.0,2.226127019495973
compound_exploration,4042,1,J22,solvent_ctrl,DMSO,0.1,pct,DMSO,0.1,pct,DMSO,0.1,pct,1540.452,1631.0785,3117.0,-6.099009940969297
compound_exploration,4042,1,K03,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2287.738,1631.0785,3117.0,44.192072057642335
compound_exploration,4042,1,K04,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2254.608,1631.0785,3117.0,41.9624791753804
compound_exploration,4042,1,K05,treatment,FSK,2.5,uM,Benidipine,0.1,uM,DMSO,0.1,pct,3394.795,1631.0785,3117.0,118.69513295285114
compound_exploration,4042,1,K06,treatment,FSK,2.5,uM,Benidipine,0.1,uM,DMSO,0.1,pct,3109.506,1631.0785,3117.0,99.49566649382217
compound_exploration,4042,1,K07,treatment,FSK,2.5,uM,Benidipine,0.1,uM,Aldosterone,1.0,uM,2427.69,1631.0785,3117.0,53.61060459788757
compound_exploration,4042,1,K08,treatment,FSK,2.5,uM,Benidipine,0.1,uM,Aldosterone,1.0,uM,2669.363,1631.0785,3117.0,69.87478813652
compound_exploration,4042,1,K09,treatment,FSK,2.5,uM,Z318400112,0.1,uM,DMSO,0.1,pct,3174.621,1631.0785,3117.0,103.87779569782118
compound_exploration,4042,1,K10,treatment,FSK,2.5,uM,Z318400112,0.1,uM,DMSO,0.1,pct,3289.875,1631.0785,3117.0,111.63419467313717
compound_exploration,4042,1,K11,treatment,FSK,2.5,uM,Z318400112,0.1,uM,Aldosterone,1.0,uM,2618.305,1631.0785,3117.0,66.43867122186467
compound_exploration,4042,1,K12,treatment,FSK,2.5,uM,Z318400112,0.1,uM,Aldosterone,1.0,uM,2579.624,1631.0785,3117.0,63.835505442245754
compound_exploration,4042,1,K13,treatment,FSK,2.5,uM,Z90308949,0.1,uM,DMSO,0.1,pct,3048.197,1631.0785,3117.0,95.36967464297408
compound_exploration,4042,1,K14,treatment,FSK,2.5,uM,Z90308949,0.1,uM,DMSO,0.1,pct,3093.912,1631.0785,3117.0,98.44621670794857
compound_exploration,4042,1,K15,treatment,FSK,2.5,uM,Z90308949,0.1,uM,Aldosterone,1.0,uM,2538.946,1631.0785,3117.0,61.09794494527469
compound_exploration,4042,1,K16,treatment,FSK,2.5,uM,Z90308949,0.1,uM,Aldosterone,1.0,uM,2563.91,1631.0785,3117.0,62.77797985963591
compound_exploration,4042,1,K17,treatment,FSK,2.5,uM,Z95680027,0.1,uM,DMSO,0.1,pct,3151.946,1631.0785,3117.0,102.35180660620361
compound_exploration,4042,1,K18,treatment,FSK,2.5,uM,Z95680027,0.1,uM,DMSO,0.1,pct,3119.081,1631.0785,3117.0,100.14004777506753
compound_exploration,4042,1,K19,treatment,FSK,2.5,uM,Z95680027,0.1,uM,Aldosterone,1.0,uM,2597.874,1631.0785,3117.0,65.06369952921469
compound_exploration,4042,1,K20,treatment,FSK,2.5,uM,Z95680027,0.1,uM,Aldosterone,1.0,uM,2600.63,1631.0785,3117.0,65.24917366092355
compound_exploration,4042,1,K21,stim_only,FSK,2.5,uM,DMSO,0.1,pct,DMSO,0.1,pct,3047.888,1631.0785,3117.0,95.34887946637826
compound_exploration,4042,1,K22,stim_only,FSK,2.5,uM,DMSO,0.1,pct,DMSO,0.1,pct,3037.848,1631.0785,3117.0,94.67320447278001
compound_exploration,4042,1,L03,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2340.909,1631.0785,3117.0,47.77039029316152
compound_exploration,4042,1,L04,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2448.458,1631.0785,3117.0,55.00825581970515
compound_exploration,4042,1,L05,treatment,FSK,2.5,uM,Benidipine,0.1,uM,DMSO,0.1,pct,3160.571,1631.0785,3117.0,102.93225449662043
compound_exploration,4042,1,L06,treatment,FSK,2.5,uM,Benidipine,0.1,uM,DMSO,0.1,pct,3109.223,1631.0785,3117.0,99.4766210731859
compound_exploration,4042,1,L07,treatment,FSK,2.5,uM,Benidipine,0.1,uM,Aldosterone,1.0,uM,2293.141,1631.0785,3117.0,44.555684805691286
compound_exploration,4042,1,L08,treatment,FSK,2.5,uM,Benidipine,0.1,uM,Aldosterone,1.0,uM,2564.965,1631.0785,3117.0,62.848979572608656
compound_exploration,4042,1,L09,treatment,FSK,2.5,uM,Z318400112,0.1,uM,DMSO,0.1,pct,3328.267,1631.0785,3117.0,114.21791124228298
