UniProtID,ChEMBL,identifier,primary_gene_name,gene_names,family,plot_identifier,total,nameOrg,variable,value
Q14524,CHEMBL1980,Sodium channel protein type 5 subunit alpha (Sodium channel protein cardiac muscle subunit alpha) (Human),SCN5A,SCN5A,Sodium channel (TC 1.A.1.10),SCN5A - Sodium channel (TC 1.A.1.10),1,Sodium channel protein type 5 subunit alpha (Sodium channel protein cardiac muscle subunit alpha) (Human),Enhancer Ratio,1.0
Q9NSA0,CHEMBL2073677,Solute carrier family 22 member 11 (Organic anion transporter 4) (Human),SLC22A11,SLC22A11 OAT4,Organic cation transporter (TC 2.A.1.19),SLC22A11 - OCT (TC 2.A.1.19),1,Solute carrier family 22 member 11 (Organic anion transporter 4) (Human),Enhancer Ratio,1.0
Q9Y2Q3,CHEMBL4491,Glutathione S-transferase kappa 1 (EC 2.5.1.18) (Human),GSTK1,GSTK1 HDCMD47P,Kappa,GSTK1 - Kappa,1,Glutathione S-transferase kappa 1 (EC 2.5.1.18) (Human),Enhancer Ratio,1.0
O95718,CHEMBL3751,Steroid hormone receptor ERR2 (ERR beta-2) (Human),ESRRB,ESRRB ERRB2 ESRL2 NR3B2,Nuclear hormone receptor,ESRRB - Nuclear hormone receptor,1,Steroid hormone receptor ERR2 (ERR beta-2) (Human),Enhancer Ratio,1.0
Q99527,CHEMBL5872,G-protein coupled estrogen receptor 1 (Chemoattractant receptor-like 2) (Human),GPER1,GPER1 CEPR CMKRL2 DRY12 GPER GPR30,G-protein coupled receptor 1,GPER1 - GPCR 1,1,G-protein coupled estrogen receptor 1 (Chemoattractant receptor-like 2) (Human),Enhancer Ratio,1.0
Q8TDU6,CHEMBL5409,G-protein coupled bile acid receptor 1 (G-protein coupled receptor GPCR19) (Human),GPBAR1,GPBAR1 TGR5,G-protein coupled receptor 1,GPBAR1 - GPCR 1,1,G-protein coupled bile acid receptor 1 (G-protein coupled receptor GPCR19) (Human),Enhancer Ratio,1.0
P34981,CHEMBL1810,Thyrotropin-releasing hormone receptor (TRH-R) (Human),TRHR,TRHR,G-protein coupled receptor 1,TRHR - GPCR 1,1,Thyrotropin-releasing hormone receptor (TRH-R) (Human),Enhancer Ratio,1.0
P78536,CHEMBL3706,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (Human),ADAM17,ADAM17 CSVP TACE,,ADAM17 ,1,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (Human),Enhancer Ratio,1.0
P15104,CHEMBL4612,Glutamine synthetase (GS) (Human),GLUL,GLUL GLNS,Glutamine synthetase,GLUL - Glutamine synthetase,1,Glutamine synthetase (GS) (Human),Enhancer Ratio,1.0
P05231,CHEMBL1795129,Interleukin-6 (IL-6) (Human),IL6,IL6 IFNB2,,IL6 ,2,Interleukin-6 (IL-6) (Human),Enhancer Ratio,0.5
Q4U2R8,CHEMBL1641347,Solute carrier family 22 member 6 (Organic anion transporter 1) (Human),SLC22A6,SLC22A6 OAT1 PAHT,Organic cation transporter (TC 2.A.1.19),SLC22A6 - OCT (TC 2.A.1.19),5,Solute carrier family 22 member 6 (Organic anion transporter 1) (Human),Enhancer Ratio,0.4
Q8TCC7,CHEMBL1641348,Organic anion transporter 3 (hOAT3) (Human),SLC22A8,SLC22A8 OAT3,Organic cation transporter (TC 2.A.1.19),SLC22A8 - OCT (TC 2.A.1.19),3,Organic anion transporter 3 (hOAT3) (Human),Enhancer Ratio,0.3333333333333333
P00797,CHEMBL286,Renin (EC 3.4.23.15) (Human),REN,REN,Peptidase A1,REN - Peptidase A1,3,Renin (EC 3.4.23.15) (Human),Enhancer Ratio,0.3333333333333333
P30542,CHEMBL226,Adenosine receptor A1 (Human),ADORA1,ADORA1,G-protein coupled receptor 1,ADORA1 - GPCR 1,3,Adenosine receptor A1 (Human),Enhancer Ratio,0.3333333333333333
P37840,CHEMBL6152,Alpha-synuclein (Non-A beta component of AD amyloid) (Human),SNCA,SNCA NACP PARK1,Synuclein,SNCA - Synuclein,3,Alpha-synuclein (Non-A beta component of AD amyloid) (Human),Enhancer Ratio,0.3333333333333333
P11474,CHEMBL3429,Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Human),ESRRA,ESRRA ERR1 ESRL1 NR3B1,Nuclear hormone receptor,ESRRA - Nuclear hormone receptor,3,Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Human),Enhancer Ratio,0.3333333333333333
P0DMS8,CHEMBL256,Adenosine receptor A3 (Human),ADORA3,ADORA3,G-protein coupled receptor 1,ADORA3 - GPCR 1,7,Adenosine receptor A3 (Human),Enhancer Ratio,0.2857142857142857
Q6XQN6,CHEMBL4523354,Nicotinate phosphoribosyltransferase (NAPRTase) (Human),NAPRT,NAPRT FHIP NAPRT1,NAPRTase,NAPRT - NAPRTase,4,Nicotinate phosphoribosyltransferase (NAPRTase) (Human),Enhancer Ratio,0.25
P02766,CHEMBL3194,Transthyretin (ATTR) (Human),TTR,TTR PALB,Transthyretin,TTR - Transthyretin,4,Transthyretin (ATTR) (Human),Enhancer Ratio,0.25
P04035,CHEMBL402,3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (Human),HMGCR,HMGCR,HMG-CoA reductase,HMGCR - HMG-CoA reductase,4,3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (Human),Enhancer Ratio,0.25
Q5BJF2,CHEMBL4105907,Sigma intracellular receptor 2 (S2R) (Human),TMEM97,TMEM97 MAC30 S2R,TMEM97/sigma-2 receptor,TMEM97 - TMEM97/sigma-2 receptor,4,Sigma intracellular receptor 2 (S2R) (Human),Enhancer Ratio,0.25
P00734,CHEMBL204,Prothrombin (EC 3.4.21.5) (Human),F2,F2,Peptidase S1,F2 - Peptidase S1,4,Prothrombin (EC 3.4.21.5) (Human),Enhancer Ratio,0.25
P08185,CHEMBL2421,Corticosteroid-binding globulin (CBG) (Human),SERPINA6,SERPINA6 CBG,Serpin,SERPINA6 - Serpin,4,Corticosteroid-binding globulin (CBG) (Human),Enhancer Ratio,0.25
P08235,CHEMBL1994,Mineralocorticoid receptor (MR) (Human),NR3C2,NR3C2 MCR MLR,Nuclear hormone receptor,NR3C2 - Nuclear hormone receptor,4,Mineralocorticoid receptor (MR) (Human),Enhancer Ratio,0.25
P30556,CHEMBL227,Type-1 angiotensin II receptor (AT1AR) (Human),AGTR1,AGTR1 AGTR1A AGTR1B AT2R1 AT2R1B,G-protein coupled receptor 1,AGTR1 - GPCR 1,4,Type-1 angiotensin II receptor (AT1AR) (Human),Enhancer Ratio,0.25
P35372,CHEMBL233,Mu-type opioid receptor (M-OR-1) (Human),OPRM1,OPRM1 MOR1,G-protein coupled receptor 1,OPRM1 - GPCR 1,4,Mu-type opioid receptor (M-OR-1) (Human),Enhancer Ratio,0.25
P41143,CHEMBL236,Delta-type opioid receptor (D-OR-1) (Human),OPRD1,OPRD1 OPRD,G-protein coupled receptor 1,OPRD1 - GPCR 1,4,Delta-type opioid receptor (D-OR-1) (Human),Enhancer Ratio,0.25
