QSPRID,qrySmiles,hitSmiles,anonIdx,mw,id,qry_molecule_chembl_id,target_id,provider,QSPRID,predictions,nn_max,nn_min,nn_mean,nn_sum,n_chiral_centers,logP,lipinski_violations,nn_index,nn_smiles,tsne1,tsne2
VS_set_ADORA1_00038,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Nc1nc(c([nH]c1=O)c2cccc(c2)F)c3cccc(c3)F,B24R3.17907504,299.275,252410060,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00038,7.0892816,0.22321428571428573,0.21723518850987433,0.22109797912850335,2.2109797912850335,0,2.9643000000000015,0,1100,CN1C(=O)C2Nc3cnccc3C2N(C)C1=O,-13.736528,-0.22973098
VS_set_ADORA1_00041,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Clc1cc(c(nn1)c2ccccc2)c3ccccc3,B21R3.236,266.725,260931451,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00041,7.1293116,0.33811475409836067,0.3244397011739594,0.3327024861590589,3.327024861590589,0,4.464000000000003,0,2224,Nc1nnc(-c2cc(Cl)cc(Cl)c2)c(-c2ccccc2)n1,-22.115599,-18.358286
VS_set_ADORA1_00043,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Ic1cnc(c(n1)c2ccccc2)c3ccccc3,B21R3.236,358.177,324147331,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00043,7.0847,0.35728952772073924,0.3213038416763679,0.34813017381857525,3.4813017381857527,0,4.415200000000002,0,2222,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,-5.698954,-33.045948
VS_set_ADORA1_00044,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Oc1cnc(c(n1)c2ccccc2)c3ccccc3,B21R3.236,248.28,6780871,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00044,7.119086,0.34110787172011664,0.3245967741935484,0.334650989247287,3.34650989247287,0,3.516200000000002,0,2227,Cc1cc(-c2nnc(N)nc2-c2ccccc2)cc(C)c1O,-5.635135,-32.965527
VS_set_ADORA1_00047,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Cc1cc(cc(n1)F)n2nccc2c3ccccc3,B21R3.7270,253.275,324649472,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00047,7.122737,0.16264521894548703,0.15967885816235505,0.16133046017719183,1.6133046017719181,0,3.381820000000002,0,2628,CCC(=O)N1Cc2nc(-c3ccccc3)nn2-c2cc(C)ccc21,-12.906936,10.272562
VS_set_ADORA1_00048,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Cc1cc(ccn1)n2ncc(c2c3ccccc3)Br,B21R3.7839,314.18,324589810,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00048,7.0011864,0.1705357142857143,0.16428571428571428,0.16815101366948954,1.6815101366948955,0,4.005220000000002,0,2627,COC(=O)N1Cc2nc(-c3ccccc3)nn2-c2cc(C)ccc21,-13.404814,10.532828
VS_set_ADORA1_00050,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Cc1cc(ccn1)n2ncc(c2c3ccccc3)I,B21R3.7839,361.181,324619784,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00050,7.467621,0.15309734513274337,0.1486123545210385,0.15119615382677448,1.511961538267745,0,3.8473200000000025,0,2630,CCC(=O)N1Cc2nc(-c3ccccc3)nn2-c2ccccc21,-13.434782,10.5471525
VS_set_ADORA1_00059,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Nc1cc(ccn1)c2cnsc2c3cccc(c3)F,B21R3.147787,271.314,46581083,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00059,7.2089643,0.2031523642732049,0.19185520361990951,0.1988690553753431,1.988690553753431,0,3.593400000000001,0,2127,COc1cc(N)[nH]c2nc(-c3ccc(F)cc3)c(-c3ccncc3)c1-2,3.9045222,-1.6077996
VS_set_ADORA1_00066,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,OCc1nnn(c1c2cc(cc(c2)F)F)c3ccccc3,B23R3.46381053,287.265,37044126,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00066,7.0600953,0.1784121320249777,0.17484388938447815,0.17656415951003168,1.7656415951003168,0,2.7048000000000005,0,1097,CN1C(=O)C2Nc3cccnc3C2N(C)C1=O,-4.467561,-7.0239244
VS_set_ADORA1_00082,CCCn1c(N=Cc2ccc(Cl)cc2)c(C#N)sc1=S,CCNc1nc(c(cc1C#N)C)c2ccccc2,B19R2.20457,237.3,315150957,CHEMBL2419142,ADORA1,emolecules,VS_set_ADORA1_00082,7.1120005,0.16740478299379982,0.16281138790035588,0.1662486661275417,1.662486661275417,0,3.360500000000002,0,2313,CCC1CN2C(=O)N(C)c3nc(-c4ccccc4)[nH]c3C2=N1,-12.693456,-6.0086093
VS_set_ADORA1_00109,CCCn1c(N=Cc2ccc(Cl)cc2)c(C#N)sc1=S,CCCn1c(ncc1c2ccc(cc2)F)S,B17R2.31640,236.31,11476715,CHEMBL2419142,ADORA1,emolecules,VS_set_ADORA1_00109,7.215869,0.15165031222123104,0.14207650273224043,0.14863237936840717,1.4863237936840719,0,3.3879000000000024,0,242,CCCn1c(=O)[nH]c2cc(-c3ccccc3)[nH]c2c1=O,5.7516065,-0.43548715
VS_set_ADORA1_00151,Clc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,c1ccc2[nH]c(nc2c1)c3ccc4ccccc4n3,B22R4.3170409,245.279,31660878,CHEMBL426297,ADORA1,emolecules,VS_set_ADORA1_00151,7.0585237,0.24171888988361684,0.17671957671957672,0.22132193523002325,2.2132193523002326,0,3.778100000000002,0,492,c1ccc2nc(-c3nc4ccccc4[nH]3)cnc2c1,-14.548669,28.04248
VS_set_ADORA1_00152,Clc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,c1ccc2[nH]c(nc2c1)c3ccc4ccccc4n3,B22R4.3170409,245.279,640436,CHEMBL426297,ADORA1,emolecules,VS_set_ADORA1_00152,7.0585237,0.24171888988361684,0.17671957671957672,0.22132193523002325,2.2132193523002326,0,3.778100000000002,0,492,c1ccc2nc(-c3nc4ccccc4[nH]3)cnc2c1,-14.548669,28.04248
VS_set_ADORA1_00153,Clc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,c1ccc2[nH]c(nc2c1)c3ccc4ccccc4n3,B22R4.3170409,245.279,980010,CHEMBL426297,ADORA1,emolecules,VS_set_ADORA1_00153,7.0585237,0.24171888988361684,0.17671957671957672,0.22132193523002325,2.2132193523002326,0,3.778100000000002,0,492,c1ccc2nc(-c3nc4ccccc4[nH]3)cnc2c1,-14.548669,28.04248
VS_set_ADORA1_00668,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,Cc1cc(nc2[n+]1ccc3c2cccc3)c4ccccc4,B24R4.3568271,271.336,317363491,CHEMBL283196,ADORA1,emolecules,VS_set_ADORA1_00668,7.420001,0.18207282913165265,0.16538461538461538,0.17835982782622734,1.7835982782622735,0,3.948920000000003,0,3871,Cc1ccc2c(N)cc(-c3ccccc3)nc2n1,-5.337119,-9.73569
VS_set_ADORA1_00710,Nc1nc(-n2cccn2)nc(-n2cccn2)c1Br,Nc1cc(nc(n1)c2ccccc2)n3cccn3,B20R3.5115,237.26,314717324,CHEMBL3694769,ADORA1,emolecules,VS_set_ADORA1_00710,7.001486,0.18402154398563733,0.10119047619047619,0.16085456961575847,1.6085456961575848,0,1.9115,0,1020,Nc1cc(-n2cccn2)nc(-c2ccco2)n1,-16.63422,-9.101212
VS_set_ADORA1_00748,Nc1nc(-n2cccn2)nc(-n2cccn2)c1Br,Clc1cc(nc(n1)c2ccccc2)n3cccn3,B20R3.5115,256.691,233009947,CHEMBL3694769,ADORA1,emolecules,VS_set_ADORA1_00748,7.270708,0.21114106019766396,0.17281553398058253,0.1972943602582778,1.972943602582778,0,2.9827000000000012,0,1020,Nc1cc(-n2cccn2)nc(-c2ccco2)n1,-16.986004,-9.086303
VS_set_ADORA1_00751,Nc1nc(-n2cccn2)nc(-n2cccn2)c1Br,Nc1cc(nc(n1)c2ccccc2)n3cncn3,B20R3.5115,238.248,315139674,CHEMBL3694769,ADORA1,emolecules,VS_set_ADORA1_00751,7.133702,0.21798365122615804,0.1928982725527831,0.21375827694806557,2.1375827694806557,0,1.3064999999999998,0,1020,Nc1cc(-n2cccn2)nc(-c2ccco2)n1,-16.203936,-9.116728
VS_set_ADORA1_00850,CCc1nc2c3[nH]c(C)nc3c4[nH]c(C)nc4c2[nH]1,CCc1ncc(cn1)c2nc(nn2c3cc(ccn3)C)C,B23R3.486,280.328,46050031,CHEMBL198460;CHEMBL372580,ADORA1,emolecules,VS_set_ADORA1_00850,7.0729184,0.14736842105263157,0.1424778761061947,0.14531130038078052,1.4531130038078053,0,2.29854,0,2628,CCC(=O)N1Cc2nc(-c3ccccc3)nn2-c2cc(C)ccc21,10.499845,12.948566
VS_set_ADORA1_00938,O=c1c(Cc2ccccc2)nnc2n(Cc3ccccc3)c3ccccc3n12,O=c1n(nc2n1c3c(c(=O)n2Cc4ccccc4)cccc3)Cc5ccccc5,B33R5.230048658,382.415,32539788,CHEMBL389418,ADORA1,emolecules,VS_set_ADORA1_00938,7.0325465,0.09885260370697264,0.09025270758122744,0.09552977491229042,0.9552977491229042,0,2.9075000000000006,0,824,O=c1c(-c2ccco2)nnc2n(Cc3ccccc3)c3ccccc3n12,1.9875213,3.2614422
VS_set_ADORA1_00969,O=c1c(Cc2ccccc2)nnc2n(Cc3ccccc3)c3ccccc3n12,O=c1n(nc2n1c3c(c(=O)n2CCc4ccccc4)cccc3)Cc5ccccc5,B34R5.114968003,396.442,32539956,CHEMBL389418,ADORA1,emolecules,VS_set_ADORA1_00969,7.2019362,0.09066901408450705,0.08546255506607929,0.08840008136361803,0.8840008136361803,0,3.1019000000000014,0,2616,O=c1c2ncn3nc(-c4ccccc4)cc3c2c(C2CCCC2)nn1Cc1ccccc1,2.0374873,3.2334673
VS_set_ADORA1_00976,O=c1c(Cc2ccccc2)nnc2n(Cc3ccccc3)c3ccccc3n12,OC(Cn1c2ccccc2n(c1=N)Cc3ccccc3)c4ccccc4,B29R4.26998826,343.422,35775486,CHEMBL389418,ADORA1,emolecules,VS_set_ADORA1_00976,7.1350703,0.0970873786407767,0.09316770186335403,0.09541460098125873,0.9541460098125873,1,3.704170000000002,0,438,CCCn1c(=O)c2c(nc3[nH]c(C(C)C)cn32)n(Cc2ccccc2)c1=O,-0.10249566,4.869796
VS_set_ADORA1_00977,O=c1c(Cc2ccccc2)nnc2n(Cc3ccccc3)c3ccccc3n12,OC(Cn1c2ccccc2n(c1=N)Cc3ccccc3)c4ccccc4,B29R4.26998826,343.422,4389914,CHEMBL389418,ADORA1,emolecules,VS_set_ADORA1_00977,7.1350703,0.0970873786407767,0.09316770186335403,0.09541460098125873,0.9541460098125873,1,3.704170000000002,0,438,CCCn1c(=O)c2c(nc3[nH]c(C(C)C)cn32)n(Cc2ccccc2)c1=O,-0.102263115,4.869899
