QSPRID,qrySmiles,hitSmiles,anonIdx,mw,id,qry_molecule_chembl_id,target_id,provider,QSPRID,predictions,nn_max,nn_min,nn_mean,nn_sum,n_chiral_centers,logP,lipinski_violations,nn_index,nn_smiles,tsne1,tsne2
VS_set_NR3C2_00616,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)C)C1c1ccc(Cl)cc1,CC(C)OC(=O)C1=C(NC2=C(C1c3ccc(cc3Cl)Cl)C(=O)CCC2)C,B28R3.3627912626,394.292,1207271,CHEMBL1215259,NR3C2,emolecules,VS_set_NR3C2_00616,7.3009925,0.09823008849557523,0.08179419525065963,0.09086977751458793,0.9086977751458792,1,4.912900000000004,0,620,CC1=C(C#N)C(c2cccc3c(=O)cc(C)oc23)C(C(=O)OC(C)C)=C(C)N1,146.58987,23.728798
VS_set_NR3C2_00644,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)C)C1c1ccc(Cl)cc1,CCOC(=O)C1=C(NC2=C(C1c3ccc(cc3Cl)Cl)C(=O)CCC2)C,B27R3.42876158,380.266,1207187,CHEMBL1215259,NR3C2,emolecules,VS_set_NR3C2_00644,7.5067353,0.09573542210617929,0.08098591549295775,0.09030133142726215,0.9030133142726215,1,4.5244000000000035,0,325,CCOC(=O)C1=C(C)NC(C)=C(C(C)=O)C1c1cccc2c(=O)cc(C)oc12,154.05476,37.110783
VS_set_NR3C2_00714,Cc1noc(C)c1-c1ccc2c(c1)C(C)(C)C(=O)C(C)(C)N2,Cc1noc(c1C(=O)N2CC(CC(C2)(C)C)(C)C)C,B20R2.36849408,264.364,102737713,CHEMBL3582109,NR3C2,emolecules,VS_set_NR3C2_00714,7.110768,0.224977856510186,0.21518987341772153,0.22239601029147454,2.2239601029147456,0,3.1897400000000022,0,537,Cc1noc(C)c1-c1ccc2c(c1)C(C)(C)C(=O)C(C)(C)N2,80.01882,37.726658
VS_set_NR3C2_00727,Cc1noc(C)c1-c1ccc2c(c1)C(C)(C)C(=O)C(C)(C)N2,CC1(CCc2cc(ccc2O1)c3[nH]ncc3N)C,B20R3.3068854,243.305,313795821,CHEMBL3582109,NR3C2,emolecules,VS_set_NR3C2_00727,7.021137,0.1202809482001756,0.1153169014084507,0.11812324128307741,1.181232412830774,0,2.7625,0,772,CC1CCc2ccccc2N1S(=O)(=O)c1ccc2c(c1)NC(=O)CO2,159.6016,-86.38332
VS_set_NR3C2_00760,O=[N+]([O-])c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(F)cc2)cc1,COc1ccc(cc1)C2=NN(C(C2)c3ccc(cc3)F)c4ccc(cc4)S(=O)(=O)N,B33R4.129186,425.478,7685640,CHEMBL1215689,NR3C2,emolecules,VS_set_NR3C2_00760,7.004829,0.06881143878462913,0.03905540417801998,0.060226105504753345,0.6022610550475335,1,3.8374000000000024,0,212,COc1ccc(N2N=C(c3ccc(C(=O)O)cc3)CC2c2ccc(F)cc2)cc1,-103.05561,-40.54128
VS_set_NR3C2_00782,O=[N+]([O-])c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(F)cc2)cc1,NS(=O)(=O)c1ccc(cc1)N2N=C(CC2c3ccc(cc3)F)c4ccc(cc4)Br,B32R4.9353156,474.347,2098304,CHEMBL1215689,NR3C2,emolecules,VS_set_NR3C2_00782,7.208726,0.06862745098039216,0.05263157894736842,0.06061711691073866,0.6061711691073866,1,4.591300000000003,0,206,O=[N+]([O-])c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(F)cc2)cc1,-91.820274,-48.417953
VS_set_NR3C2_00783,O=[N+]([O-])c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(F)cc2)cc1,NS(=O)(=O)c1ccc(cc1)N2N=C(CC2c3ccc(cc3)F)c4ccc(cc4)F,B32R4.9353156,413.442,7865123,CHEMBL1215689,NR3C2,emolecules,VS_set_NR3C2_00783,7.038369,0.06678539626001781,0.048401826484018265,0.05699868521673503,0.5699868521673503,1,3.967900000000003,0,206,O=[N+]([O-])c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(F)cc2)cc1,-93.487045,-33.3947
VS_set_NR3C2_00812,CCC(Cc1cc(C)c(OC)c(C)c1)NS(=O)(=O)c1c(C)cc(C)cc1C,COc1cc(cc(c1OC)OC)CCNS(=O)(=O)c2c(cc(cc2C)C)C,B28R2.432857504,393.499,184927205,CHEMBL3094483,NR3C2,emolecules,VS_set_NR3C2_00812,7.1095095,0.1262488646684832,0.11365719523373052,0.12189856195102926,1.2189856195102926,0,3.158660000000001,0,436,CCC(Cc1cc(C)c(OC)c(C)c1)NS(=O)(=O)c1c(C)cc(C)cc1C,53.301125,-124.08771
VS_set_NR3C2_00855,CCC(Cc1cc(C)c(OC)c(C)c1)NS(=O)(=O)c1c(C)cc(C)cc1C,CCOc1ccc(cc1Br)/C=N/NS(=O)(=O)c2c(cc(cc2C)C)C,B26R2.87608340,425.341,181588927,CHEMBL3094483,NR3C2,emolecules,VS_set_NR3C2_00855,7.0092573,0.16621983914209115,0.15960324616771868,0.16434490138412405,1.6434490138412405,0,4.085460000000003,0,436,CCC(Cc1cc(C)c(OC)c(C)c1)NS(=O)(=O)c1c(C)cc(C)cc1C,214.80408,-90.74538
VS_set_NR3C2_00856,CCC(Cc1cc(C)c(OC)c(C)c1)NS(=O)(=O)c1c(C)cc(C)cc1C,CCOc1ccc(cc1Cl)/C=N/NS(=O)(=O)c2c(cc(cc2C)C)C,B26R2.87608340,380.891,181588948,CHEMBL3094483,NR3C2,emolecules,VS_set_NR3C2_00856,7.0148277,0.16131907308377896,0.15672306322350846,0.1600028842047835,1.600028842047835,0,3.9763600000000023,0,437,CCC(Cc1ccc(OC)c(C)c1C)NS(=O)(=O)c1c(C)cc(C)cc1C,222.13927,-98.3863
