qrySmiles,hitSmiles,anonIdx,mw,id,qry_molecule_chembl_id,target_id,provider,QSPRID,predictions,nn_max,nn_min,nn_mean,nn_sum,n_chiral_centers,logP,lipinski_violations,nn_index,nn_smiles
CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1,C[C@@H]1CN(CCO1)C2=CC=C3N=CC(=O)NC3=N2,B20R3.90365,246.266,Z5403967393,CHEMBL4081522,NR3C2,enamine,VS_set_NR3C2_12256,6.223858,0.11514614703277236,0.0890909090909091,0.10777477525718127,1.0777477525718127,1,0.5431999999999999,0,631,CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1
CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1,C[C@H]1CN(CCO1)C2=CC=C3N=CC(=O)NC3=N2,B20R3.90365,246.266,Z5403967588,CHEMBL4081522,NR3C2,enamine,VS_set_NR3C2_12257,6.223858,0.11514614703277236,0.0890909090909091,0.10777477525718127,1.0777477525718127,1,0.5431999999999999,0,631,CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1
CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1,CCCC(C)CNC1=CC=C2OCC(=O)NC2=N1,B19R2.19700,249.309,PV-002876696888,CHEMBL4081522,NR3C2,enamine,VS_set_NR3C2_12258,5.972802,0.10044444444444445,0.08959276018099548,0.09651790852047394,0.9651790852047394,1,2.2605999999999997,0,631,CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1
CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1,CCOC(C)CNC1=CC=C2OCC(=O)NC2=C1,B19R2.19700,250.294,Z5510673176,CHEMBL4081522,NR3C2,enamine,VS_set_NR3C2_12259,6.939847,0.13864042933810375,0.13303571428571428,0.1365640644171142,1.365640644171142,1,1.8544,0,755,CC1CN(c2ccc3c(c2)NC(=O)CO3)C(c2ccccc2)CO1
CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1,CC(C)CCCNC1=CC=C2OCC(=O)NC2=N1,B19R2.48371,249.309,PV-002399515692,CHEMBL4081522,NR3C2,enamine,VS_set_NR3C2_12260,6.308752,0.10512367491166077,0.08983666061705989,0.09913546370163984,0.9913546370163984,0,2.2605999999999997,0,631,CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1
CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1,CC1CC(=CC2=CC=C3OCC(=O)NC3=N2)CCO1,B21R3.148799,260.289,PV-008192745866,CHEMBL4081522,NR3C2,enamine,VS_set_NR3C2_12261,6.831115,0.08148804251550044,0.07034728406055209,0.07658060433870836,0.7658060433870836,1,1.9948,0,793,CC1CN(c2ccc3c(n2)NC(=O)CO3)C(c2ccc(F)cc2)CO1
CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1,CC1CN(CCO1)CC2=CC=C3OCC(=O)NC3=C2,B21R3.148799,262.305,Z2225536258,CHEMBL4081522,NR3C2,enamine,VS_set_NR3C2_12262,7.0822554,0.10017730496453901,0.09212880143112702,0.0967164604683056,0.9671646046830561,1,1.2381999999999995,0,755,CC1CN(c2ccc3c(c2)NC(=O)CO3)C(c2ccccc2)CO1
CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1,C[C@@H]1CN(CCO1)CC2=CC=C3OCC(=O)NC3=C2,B21R3.148799,262.305,Z2227095109,CHEMBL4081522,NR3C2,enamine,VS_set_NR3C2_12263,7.0822554,0.10017730496453901,0.09212880143112702,0.0967164604683056,0.9671646046830561,1,1.2381999999999995,0,755,CC1CN(c2ccc3c(c2)NC(=O)CO3)C(c2ccccc2)CO1
CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1,C[C@H]1CN(CCO1)CC2=CC=C3OCC(=O)NC3=C2,B21R3.148799,262.305,Z2227099095,CHEMBL4081522,NR3C2,enamine,VS_set_NR3C2_12264,7.0822554,0.10017730496453901,0.09212880143112702,0.0967164604683056,0.9671646046830561,1,1.2381999999999995,0,755,CC1CN(c2ccc3c(c2)NC(=O)CO3)C(c2ccccc2)CO1
CC1CN(c2ccc3c(n2)NC(=O)CO3)CCO1,CC1CN(CCO1)C2=CC3=C(C=N2)OCC(=O)N3,B20R3.90365,249.266,Z5372248807,CHEMBL4081522,NR3C2,enamine,VS_set_NR3C2_12265,6.7919016,0.08703374777975133,0.06126126126126126,0.07833816665106515,0.7833816665106514,1,0.6376,0,797,CC1CN(c2cc3c(cn2)OCC(=O)N3)C(c2ccccc2)CO1
