"batch.code","well.name","plate.layout.info.Type","plate.layout.info.Stimulant","plate.layout.info.Stimulant dose","plate.layout.info.Stimulant unit","plate.layout.info.Stimulation solvent","plate.layout.info.Treatment","plate.layout.info.Treatment concentration","plate.layout.info.Treatment unit","plate.layout.info.Treatment solvent","plate.layout.info.Treatment 2","plate.layout.info.Treatment 2 concentration","plate.layout.info.Treatment 2 unit","plate.layout.info.Treatment 2 solvent","ID","obj.Mean(area).um2.meas","obj.Mean(area).meas.npi_plate","Fraction_dead_cells","increase_death_cells_pct","obj.count_corrected.meas"
"4042","G10","treatment","FSK",2.5,"uM","0.1pctDMSO","Finerenone",0.001,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2558.637,62.70739454280275,0.186,-2.2500000000000018,863
"4042","G11","treatment","FSK",2.5,"uM","0.1pctDMSO","Esaxerenone",0.001,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3054.412,95.47306327540778,0.182,-2.650000000000002,808
"4042","G12","treatment","FSK",2.5,"uM","0.1pctDMSO","Esaxerenone",0.001,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3232.336,107.23230934082144,0.187,-2.150000000000002,763
"4042","G13","treatment","FSK",2.5,"uM","0.1pctDMSO","Esaxerenone",0.001,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2478.227,57.39321373463346,0.174,-3.450000000000003,813
"4042","G14","treatment","FSK",2.5,"uM","0.1pctDMSO","Esaxerenone",0.001,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2694.671,71.69799563455597,0.172,-3.650000000000003,797
"4042","G15","treatment","FSK",2.5,"uM","0.1pctDMSO","Apararenone",0.001,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3125.335,100.16044684577278,0.181,-2.7500000000000027,781
"4042","G16","treatment","FSK",2.5,"uM","0.1pctDMSO","Apararenone",0.001,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3149.439,101.7535855425278,0.173,-3.5500000000000034,750
"4042","G17","treatment","FSK",2.5,"uM","0.1pctDMSO","Apararenone",0.001,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2610.973,66.16628341571379,0.185,-2.3500000000000023,800
"4042","G18","treatment","FSK",2.5,"uM","0.1pctDMSO","Apararenone",0.001,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2633.186,67.63462043775583,0.18,-2.8500000000000023,831
"4042","G19","tox_ctrl","FSK",2.5,"uM","0.1pctDMSO","staurosporin",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1267.305,-22.63673169513706,0.486,27.749999999999996,494
"4042","G20","tox_ctrl","FSK",2.5,"uM","0.1pctDMSO","staurosporin",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1389.847,-14.537869943930765,0.459,25.05,488
"4042","G21","stim_only","FSK",2.5,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3050.884,95.2401931114182,0.192,-1.6500000000000015,784
"4042","G22","stim_only","FSK",2.5,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3116.191,99.55596052188366,0.202,-0.6500000000000006,792
"4042","H03","stim_only","FSK",2.5,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3158.401,102.34621919339948,0.172,-3.650000000000003,832
"4042","H04","stim_only","FSK",2.5,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3091.929,97.95306080029077,0.175,-3.350000000000003,826
"4042","H05","treatment","FSK",2.5,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","Aldosterone",0.001,"uM","0.1pctDMSO","4042_1",3105.224,98.83155303570054,0.164,-4.450000000000001,837
"4042","H06","treatment","FSK",2.5,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","Aldosterone",0.001,"uM","0.1pctDMSO","4042_1",3069.635,96.47914604976991,0.172,-3.650000000000003,794
